,movie,summary
10,1095420-high_fidelity,created a doggedly faithful adaptation of nick hornby s cult fave novel  it s hard to remember the last time guys were nailed so perceptively and dragged into adulthood so warmly and entertainingly  
11,dark_days,this is the world discovered and illuminated by gonzo documentarian marc singer  who spent a good part of two years living with and chronicling the lives of a half dozen tunnel dwellers for his remarkable first film  dark days the lives of these people inside their shacks are full of surprises as well as grim confirmations  but the things we don t know about them also significantly shape our experience of the film  singer deserves credit for attempting to put a human face on such tragic circumstances  but he appears to have gotten so close to his main subjects that he seems unwilling to make them  or their desperate situation  look too bad  some of these hardy souls have lived this way for years  decades even  and they ve lived not just to tell the tale but to suggest that they ve created a viable alternative existence  at times  dark days almost makes you envious  but only almost  revealing  if occasionally frustrating  singer s stark black and white photography renders their world with the abstract horror of a german expressionist film  yet he s equally skilled at coaxing the grim personal stories of life underground  designed neither to warm your heart nor shelter you in the comfort of liberal guilt  the movie does what so many style conscious   subjective  documentaries have long forgotten how to do  it shows you a world  and stays the hell out of it  singer achieves remarkable intimacy with his subjects  who share their experiences and joke around with the man behind the camera as freely as they do with their peers  it s distinguished by remarkable intimacy  with none of the arty distance or aesthetic pretension a veteran filmmaker might have imposed  singer s subjects feel more like collaborators  an ensemble cast  complemented by its black and white photography and a moody dj shadow score  this is a gritty yet often tender look at society s margins  marc singer s feted 2000 doc about a manhattan subterranean community has lost none of its power since its debut  
12,filth_and_the_fury,best for older teens  especially sex pistols fans  to see this film s footage from the  70s is to see the beginning of much of pop and fashion iconography for the next two decades  
13,almost_famous,in almost famous  writer director crowe is still contending with the dueling voices in his head  and he still can t bring himself to take the harsh road  his movie gives off the warm glow of mercy  the film shimmers with the irresistible pleasures that define hollywood at its best    it s polished like glass  funny  knowing and bright  and filled with characters whose lives are invariably sexier and more purposeful than our own  a winner because crowe dares to wear his heart on his sleeve  for this movie at least  he s with the band  even though the same points are made more than once  they are never less than entertaining  while crowe resists the lazy route of plastering the soundtrack with 70s rock hits  these characters have none of the passion and incipient mania that made jerry maguire    or john cusack s lloyd dobler in crowe s debut say anything    so engaging  it offers the kind of top notch entertainment that has been sadly lacking in multiplexes this year  a sweet but curiously unfulfilling story  oh  what a lovely film  i was almost hugging myself while i watched it  crowe has created a genuine love song for all those who ve ever felt their lives to have been saved by rock   roll  penny lane  is  played by hudson with an intuitive lucidity that recalls the best work of her mother  goldie hawn  see it and it ll stay with you as your own memories do  funny  poignant  bittersweet and irreplaceable  
14,cast_away,hanks s everyman quality has never been more aptly utilized  he s the perfect stand in for all of us who never made it to eagle scout  chuck has flashes of ingenuity that filled me with the thrill of discovery and invention  and stretches of failure that i felt just as acutely  hanks conducts a master class in acting by showing a man losing his sense of himself in fractional gradations  hanks and his collaborators deserve all the praise and awards that surely will come their way  if you ve seen the trailer or the commercials  you know the story  but that doesn t mean you ve seen the movie  
15,girlfight,if you don t think of marlon brando s smoldering power at some point during girlfight  karyn kusama s splendid debut film about a young female boxer  you ve probably never seen brando perform  
16,1104207-panic,a gently subversive outing full of nicely limned characters  the results are quietly electrifying  radiates quiet and calm  while simmering with tension both comic and tragic  a defiantly offbeat and accomplished piece with a dream ensemble acting out one man s nightmare  both subtle and formidably odd  and already you can feel an enthusiastic cult following forming  panic offers a more naturalistic analysis of male midlife crisis than the grotesquely overpraised american beauty  mr  bromell s shrewdness in constructing narrative is a bit more advanced than his directing skills  but he has worked out panic intelligently and supported his script with an able cast  there has never been an evocation of middle aged disappointment like it  there s a sense that the picture wants to constantly stick its tongue in its cheek but never wants to get caught at it  once you ve seen the first hour  there s really no need to sit through the rest  since almost everything that transpires during the final thirty minutes is easily predicted by anyone who understands the conventional storyline handbook  
17,widow_of_st_pierre,a work of art that immerses you in a time and place so completely that it could be a documentary  a compelling french canadian drama  rides a romantic spirit that would have fit splendidly in a classic hollywood production  leconte lets the widow of st  pierre resonate in ways that transcend its black and white scenario  devastatingly tragic  it s a relief to see leconte leaning more toward dostoyevsky than dior for a change  binoche gets a chance to demonstrate her on screen radiance with subtlety and amplitude  rendered with impeccable beauty and dramatic precision  faraldo s most engrossing and inventive script  alternately serious and comic  is beautifully realized by binoche  auteuil and kusturica  
18,sexy_beast,i didn t know kingsley had such notes inside him  obviously  he can play anyone  
19,aimee_and_jaguar,a sophisticated and beautiful feature debut from german television director max frberbck  rewarding viewing  evocatively re creating a narrative milieu and war time berlin rarely seen on screen  a reminder that truth never ceases to be stranger than fiction  its series of quiet but moving realizations of the utter ubiquity of the nazi horror in every single aspect of life  even something as hidden as a sexual sub culture  is powerful indeed  there is surprisingly little emotional amplitude  frberbck s adaptation relies on the hefty talents of its two leading ladies  
20,wattstax,the cinema verite material is very cunningly incorporated with the festival coverage of many major black rock activities to make an overall rhythmic pat  tern full of life and vigour  a time when not only a single record company could put together a day like this  but could then give every dollar made to charity  it just has the air of something too carefully laid out in advance  it s so busy being glossy and optimistic that it doesn t even allow its performers time to create on screen a measure of the excitement they might have created in person  
21,exorcist_the_version_youve_never_seen,there s something elemental about the exorcist  even with the new hopeful ending that betrays the bleak original  there is no doubting this is a traumatic film  but whether or not you enjoy it will depend on what you re looking for  in an era when many films compete to scare the hell out of you  the exorcist remains one of the few able to successfully scare the hell into you  a feat which assuredly deserves another go round  decades later  only some parts will scare the pants off you    but it s those parts that make this a scary trip that s very definitely worth taking again  the new version s amendments  for the most part  are distracting and sometimes unintentionally funny  no matter how many times viewed  the exorcist never fails to deliver the goods  remains an effective excursion into demonic possession more than a quarter of a century after it was first unveiled to the public  it s still a shock to see how young linda blair was  it is regan s nymphet innocence  of course  that renders her subsequent ravings so obscene  a triumph of dramatic construction as well as special effects  the scares were sometimes cheap  but they weren t stupid  still delivers on the most visceral level  an expertly tuned movie  
22,emperors_new_groove,emperor doesn t aim too high or strain too hard  it is at ease inhabiting its pretty  miniature realm  an audience dominated by young children was disconcertingly quiet during a preview screening  
23,meet_the_parents,scenes that should have been uproarious are weaker than many of the movie s smaller moments  whose everyday humor isn t specific to the plot or characters  star driven comedy at times offensive and funny  alas  poor focker  he can t help himself  and we can t help ourselves from falling about  equally helpless  at this superbly antic movie  when the script puts its faith in the audience  allowing us to find the laughs on our own  the film is irresistible  a bright lark  yet when the writers panic  upping the antic volume and shifting into crazed sitcom gear  the lark stops  a hilarious hodgepodge of the in laws and annie hall  in which de niro gives his best comic performance to date  a refreshing change from the current trend of gross and grosser humor  within its formulaic confines  the humor works uncommonly well from time to time  with all due respect to giggles  though  you would do better to rent raging bull  passable movie entertainment  but like most future in laws leaves a feeling of something still desired  even with stiller and de niro  meet the parents is an encounter that can be postponed until it s available on video  possibly the most amusing mainstream live action comedy since there s something about mary   roach  does know how to stage discrete comic moments  taking mildly humorous nightmares and turning them into nicely wrought miniatures  
24,erin_brockovich,in the title role  roberts carries the film in the best sense  by taking us on a human journey of genuine discovery and growth  julia roberts winner  r mostly for language  erin is far and away her own worst enemy   and a good thing too  because she needed at least one  from the opening to the perfect final shot  roberts is in nearly every scene of erin brockovich  and there isn t a second when we re not on her side  i found myself surprisingly engaged  roberts does what the best movie stars do  she makes you believe in erin brockovich as a living  breathing human being even as you re also constantly aware that you re watching julia roberts on screen  it s a victory for julia roberts  co star albert finney and director steven soderbergh  it s also a victory for the audience  a stand up and cheer crowd pleaser  there is never a dull moment  with erin brockovich   soderbergh  pulls off his most impressive feat yet  giving crowd pleasing baubles a good name  not only is every plot development signaled far in advance  but nearly every scene in the film s long second section rings a variation of one of two themes  1  julia roberts tells somebody off  or 2  julia roberts feels somebody s pain  before long  the character simply becomes irritating  
25,battle_royale,stylistically it s a beauty  with khaki uniformed waifs fighting for their lives to a crashing classical score  3d conversion of a classic teen massacre thriller raises the gore level  maybe battle royale s ultimate punchline is its inexplicable ability to fool some people into taking it seriously  departing from two decades  worth of domestic and personal dramas and returning to his roots as japan s maestro of mayhem  kinji fukasaku has delivered a brutal punch to the collective solar plexus with one of his most outrageous and timely films  a minor sensation in japan where questions were asked in parliament  this noisy and bombastic adaptation of a recent pulp novel doesn t shape up as satire or death sport fantasy  races along with the swift  brutal precision of a samurai sword cutting through cotton  
26,billy_elliot,terrific story of young ballet dancer has strong language  its dry humor  earthy performances and distinctive take on the clash between art and life help it earn every tear and cheer  neither revolutionary in its approach or subject matter nor seamless in its storytelling  billy elliot nevertheless manages to sketch the lives of characters we come to care about  
27,state_and_main,intriguing characters  good movie for older teens  hollywood corrupts absolutely  and mamet turns the toxic process into the year s best and smartest comedy  state and main might be the perfect david mamet movie for people who don t like david mamet movies  the nice thing about it  though  is that it won t disappoint the rest of us  an amusing trifle  a surfeit of farce and fast talking makes up for a lack of plot  as much fun to listen to as it is to watch  mamet has an unrivaled ear for dialogue  has the hermetic  vacuum packed atmosphere of all the films that david mamet has directed  yet cleverness  heightened to a pitch of acid tongued amorality  is both its flavor and its meaning  in this age when dumb  broad  easy to market comedy continues to rule  mr  mamet s literary wit is always welcome  a frequently hilarious film  there s not much here that would surprise any knowledgeable observer  but mamet presents it with such brio and simmering rage that the movie has the sting of anger in almost every scene  when mamet s new movie sticks to depicting the contagious amorality spread by the movie business  it s darkly dirty fun  a finely tuned satire of the insane hollywood modus operandi  heightened by farcical flourishes and grounded with the kind of reportorial integrity that distinguishes mamet s best work  
28,nico_and_dani,filmmaker gay nimbly navigates the raging waters of burgeoning sexuality  for a movie that has been praised for its sensitive realism  nico and dani takes some large liberties  could be useful to a confused teenager  suggesting that we all have to choose our own paths in life  although films about adolescents stumbling urgently toward sexual self identity are plentiful  most are put to shame by the delicacy  poignancy  and honesty of nico and dani  the film seems unfocused at times  but on reflection  stands out as an unusually sensitive and honest view of teen sexuality  straight or gay  one of the better recent contributions to an over crowded field  gay deftly explores the casual experimentation between the two boys  a refreshingly frank treatment of some terribly overworked territory  succeeds in capturing and sustaining the fragile emotional climate of curiosity  fear  innocence and prurience that surrounds adolescent sexual experimentation  a movie more interested in shocking than in entertaining  
29,xmen,the x men comic books have spawned a cottage industry of mutant characters  and the movie helps make sense of these legions while offering the established fan base something new to cheer  the movie is respectful of its source material without being the least bit self important  x men may have hit the platonic ideal of comic book movies  coming across as lightweight  sophisticated  wacky and straightforward all at the same time  the script could be a lot snappier  particularly during some virtually unexplained rivalry banter between marsden and jackman  but x men is a decent start to what will no doubt be an immensely profitable series of negligible but enjoyable summer movies  of course  the wide open ending practically shrieks  sequel   so rest assured this is only the beginning of a new super franchise  here s hoping joel schumacher doesn t get his hands on it  x men plays like a so so middle chapter of an epic series rather than a fitting kickoff  apart from the brushed metal production design and pin sharp camerawork  this offers only moderate excitement  all these characters with their odd powers are inherently absurd and they throw a barrel of wrenches into the machinery of a coherent narrative  a distinctively absorbing entertainment  offering just enough popcorn thrills for mass audiences and just enough chewiness for hardcore sci fi fans  it sucks that this choppily edited film appears rushed and incoherent in ways that cheat the story of its human resonance and the stunts of their anticipated pow  one must give credit for the film s cheeky attitude to director bryan singer  visually entertaining  
30,nurse_betty,almost every emotion and action on view is presented as false  idiotic or superficial  while nurse betty proves that labute has more than one string to his bow  you can t help thinking that he makes more memorable cinema when revelling in misanthropy  does labute feel any sympathy for his victimized women  or merely contempt for their weakness  this fantasy tinged romance leaves a distinctly bitter aftertaste  its uneven comedy may leave moviegoers yearning for the confidently choreographed banter and moral sludge that marked labute s previous outings  
31,thirteen_days,an outstanding movie for families with older kids  a fitting dramatic tribute to the deadly brinksmanship that pulled us back from the edge during the most volatile two weeks of the cold war  who would ve thought this nearly 40 year old piece of history could be turned into such a riveting motion picture  thirteen days is more suspenseful than the car crashes and breathless chases of most run of the mill action movies  shrewd and tender in equal measure  thirteen days is an insider drama par excellence  i call the movie a thriller  even though the outcome is known  because it plays like one  people will be watching thirteen days long after journalism s junkyard dogs have gone snapping after other prey  thirteen days sustains a pretty good boil for a movie that s basically a series of scenes of middle aged white guys shouting at each other  it s a slick  efficient thriller that keeps driving forward lucidly and relentlessly  thirteen days will make you shudder  but only in ways the filmmakers intended  director roger donaldson s taut  understated thriller pulls you into a powerfully engaging situation  it s never as fully engaging as you might hope  
32,chunhyangdyun_2000,admiration gives way to something like enthrallment  be patient and you ll see that this picture casts its own peculiar spell  
33,shadow_of_the_vampire,vampire satire has some creepy moments  the screenplay  by steven katz  suffers from arch  almost unspeakably theatrical dialogue  and  as murnau  john malkovich recites his lines as if monomania were synonymous with monotonic  he drains the drama of blood  wholly absorbing and inspired in parts  this carefully crafted curio dares to suggest that murnau made a faustian pact with an actual vampire to play the title role in exchange for the neck of the film s leading lady at production s end  it s a marvelous  resonant joke that never quite succeeds  stretches of the film resemble a dario argento horrorfest crossed with a mel brooks spoof  any film that has not just dafoe but also malkovich  kier  late of paul morrissey s warhol produced blood for dracula  no less   and cross dressing brit comic izzard is bound to be interesting  this stupid and demeaning fantasy about the shooting of f w  murnau s 1922 masterpiece nosferatu is a piece of postmodernist kitsch whose only redeeming quality is an enjoyably over the top  eye rolling performance by willem dafoe  this in reference fest for frightfilm fans has enough chuckles and shudders even for those who ve never heard of nosferatu  it makes some good points  but ultimately just stops rather than ends  a shockingly funny spellbinder  dafoe brings a terrifying realism to a character long steeped in mystery  works as a horror flick because merhige is so adept at establishing an unsettling atmosphere and because dafoe s performance is so powerfully perverse  dafoe s boundary pushing yet calibrated performance will crack you up  
34,chuck_and_buck,this weirdly comic film strips off the gloss of youthful beauty to explore the darker side of childhood and ask what happens when the wilful  needy child within refuses to grow up  
35,original_kings_of_comedy,there are some good gags and routines here  but loads of them have been done with far more invention and wit by richard pryor and eddie murphy  they form a hilarious and even poignant conscience for a brand of black humor much deeper and wiser than what we ve seen on screen this year  boasts the highest laughs per minute ratio of any in this season s hilarity  
36,merci_pour_le_chocolat,we can rejoice that he carries on  breathes his profession as his native air  makes pictures of varying quality but persistently makes them  a tasty appetizer that leaves you wanting more  merci pour le chocolat has a restraint and rigor that we don t see in commercial american films  the kind that a director creates when he has no interest in sentimentality or in soliciting the audience s favor  a sun drenched masterpiece  part parlor game  part psychological case study  part droll social satire  huppert gives what may be her wittiest passive aggressive performance yet  suspend your disbelief here and now  or you ll be shaking your head all the way to the credits  huppert has the best poker face since buster keaton  she faces the camera with detached regard  inviting us to imagine what she is thinking  in his 48th film of his 44 year career  new wave pioneer chabrol remains at the height of his powers  the picture belongs to ms  mouglalis  whose adorable warmth doesn t lessen her instinct to exploit  every potential twist is telegraphed well in advance  every performance respectably muted  the movie itself seems to have been made under the influence of rohypnol  claude chabrol s camera has a way of gently swaying back and forth as it cradles its characters  veiling tension beneath otherwise tender movements  
37,ghost_dog_the_way_of_the_samurai,a handsomely shot  cool sounding head scratcher of a film that probably isn t worth the wear on the fingernails  too whimsically staged to take as serious suspense  too grimly real to be amusing  jarmusch  with his noble sincerity and real affection  can t begin to give this grisly  somnambulant essay on the cross cultural matrix of violence born of over stimulation and numbness a life of its own  
38,love_and_basketball,one wishes producer spike lee had stepped in to give the dialogue some sass  
39,beau_travail,as much poem as film  it requires patience  which it rewards at every languid turn  beau travail is an allegorical tale of revenge and jealousy set within a french foreign legion outpost in africa  a masterpiece  denis  film is as fluid as her nine others  demonstrating her skill at integrating story strands with her handsome visual sense and gift for evocation  
40,1097991-george_washington,george washington is the closest thing we have to william faulkner on screen it remembers a summer that was not a happy summer  but there will never again be a summer so intensely felt  so alive  so valuable  
41,wonder_boys,while maguire s blank shapelessness has left a hole in the center of other films  here he delivers a real performance rather than just his wide eyed presence  wonders really never cease  glad to have been invited along  
42,house_of_mirth,besides his remarkable ability to render a profound sense of past in all his films  davies can uncannily map out the emotions of his characters via his mise en scene  davies breathes fresh air through the wax museum corridors of the costume drama by finding behind all that stiff spined pomp and circumstance the most venal of impulses  what we re talking about here could hardly be described as a tableau vivant  i can t recall another movie that cries out so incessantly for running commentary  
43,gladiator,really excellent but really violent oscar winner  
44,lakeboat,based on mamet s experience as a freighter on the great lakes while a grad english lit student  mantegna s screen version is so dramatically inert and artistically shapeless resulting in an uninvolving memory film  watching it  you come to understand what it is that mamet has been true to all these years  a first rate movie made from one of david mamet s lesser plays  where mantegna succeeds is in providing a forum for some great acting  as with any mamet script  the cast is all  and these old boys take his macho monologues and make them sound like homer  more play than movie  but it s unusual for either  it s neither plot driven like many plays nor action  and image driven like most movies  the raw raunch and the latent yearning and pain  mamet  sets down here with such assurance yield a movie of special rewards  the script is so inherently stagy that setting the film on a real boat doesn t pay off  i once taught a class on mamet s films  i wish i could have opened it with this one  because for mamet  it all starts here  this early effort is more a curiosity piece than anything else  an elegiac and tartly amusing tribute to a group of guys trying to make the most of the hand life has dealt them  
45,requiem_for_a_dream,at times disturbing and always intense  this flick offers its own acid trip for viewers and is a first hand look at four people who become trapped by their own hell  burnished camerawork and ex pop will eat itself head mansell s part punchy  part elegiac score reinforce and counterpoint the increasingly nightmarish visuals  
46,shanghai_noon,much of its strength comes from the central clash between jackie s indomitable energy and wilson s knowingly anachronistic cool  while lots of visual and verbal gags keep things whistling  it s hard to imagine why anyone of any age would find other elements of this movie s attempt at a comic text even mildly amusing  far too much time passes between good punches and punch lines  the typical machinations of an event movie dictate multiple overblown climaxes that leave one less than bowled over  the plots for most chan movies are glorified coat hangers on which to drape elaborate fights and sight gags  shanghai noon is slightly more sophisticated  but it still treats plot twists and peripheral characters as impositions  
47,fantasia_2000,delightful  but may scare more sensitive kids  the rest of these animated sequences depend on gimmickry  cuteness  or facile ideology  fantasia 2000 will no doubt become a disney perennial  but that does not by definition make it a classic  it provides some fine artists the chance to stretch and frolic  even as it reminds today s audiences of animation s limitless borders  this must be the most belated sequel the movies have produced  it s not that the images aren t pretty  or that great care hasn t gone into them    it s that the sensibility behind them is so icky  limited in its conception of beauty to picture postcards and the sort of paintings you see in chain hotels  sixty years after walt disney s animators first set cartoons to classical music  they ve conjured up seven new sequences for fantasia 2000  judging from the often mickey mouse results  they may have been too hasty  where else can you see perlman s hair in such stunning details  find donald duck as a major character in a bible story and experience the distinctive mixture of comfort and grandeur that disney excels in creating  doesn t play like a celebration  in its sentimental yearning for a golden age when another one s upon us  it feels a little like a rebuke  an exhilarating animation concert  compared to how visually and narratively imaginative disney released animated films have been in the 1990s  this one seems at a loss for purpose  
48,pollock,for better and worse  pollock is an action painterly picture  an ambitious work of ambiguous surfaces  harris as an actor does justice to his long term passion to play pollock  it tracks a mythology of creativity which runs from caravaggio to patti smith  and is running still  unended  a highly personal  rigorous  and thoughtful analysis of a truly troubled genius  that rare breed  a biopic that makes you want to learn more about its subject  as much as you can  as fast as you can  that altogether rare movie about an artist that works because it takes the art itself for granted  a difficult and demanding movie  one that rewards the persevering moviegoer just as pollock s difficult and demanding paintings ultimately reward the steadfast  a ruddy little movie with a seething core and a chill in its bones  this may not be exactly the movie pollock deserves  but it s the one he got  and  reservations aside  it s pretty darn good  harris  oscar nominated performance is quite moving  making pollock a better movie than the predictability of its story arc would indicate  like its subject  pollock is a messy creation  but one whose depth of commitment and high attack keeps it on track  flat and uninvolving  flash cards from a life but with no life itself  
49,o_brother_where_art_thou,an especially elaborate variation on hee haw  
50,the_vertical_ray_of_the_sun,this might just be the perfect time to soak up some of its calm and natural beauty  tran anh hung  who earned an oscar nomination for his first movie  the scent of green papaya  1993   has created another exquisite portrait of vietnamese family life  the film s minimalism works against it  there are scenes that simply ask the audience to drink in the details  to enjoy the repast  just as much as follow the plot  a provocative meditation on the possibility of domestic happiness  made of a serene dynamite that s all but unknown to american film audiences  plays like a holy  erotic mood piece  gentle  ravishingly beautiful and awash in everyday sensuality  tackles the problem of happiness in today s world with a poetic succinctness all too rare in movies today  
51,space_cowboys,space cowboys is at least three different movies  high tech thriller  low key comedy  rumination on aging  jammed together into an implausible but very likable entertainment  weak and saggy script meets predictable plot  as craftily savvy as it is well crafted  one of those over the hill gang buddyfests that pretend to be about teamwork and valor but are really about movie star cronyism  
52,tao_of_steve,sweet  funny romantic comedy for mature audiences  one of the things i like about the movie is the wit of its dialogue  the way sentences and conversations coil with confidence up to a conclusion that is totally unexpected  
53,1100998-contender,the movie has plenty going for it  a terrific cast led by joan allen  jeff bridges and gary oldman  a captivating story line  a sharp script  most important  the contender has timing  thoughtful  enjoyable film for older teens  silly as it is  the contender has a lurid zest that keeps you hooked  and a rambunctiously good cast  what makes this twisty  cautionary yarn     delicious is a cast that chews the scenery with such obvious enjoyment  a landslide winner as an emotionally rewarding drama  what the contender lacks in sophistication and subtlety  it more than makes up for with sheer verve and chutzpah  what it lacks in credibility  it more than makes up for in energy and scandalous wit  excellent performances in an entertaining if less than totally plausible story  however neatly packaged  the contender is double dealing baloney  the film s very premise  while initially promising  doesn t hold up to lengthy scrutiny  an intelligent and informed look at the preposterous ways our leaders are often picked and sabotaged  
54,virgin_suicides,intense  imperfect movie about teen suicide  the tone of wistful regret and longing doesn t preclude a good deal of gentle humour  it s a restrained  subtly suggestive piece which disintegrates if you try to get a fix on it  coppola s direction engagingly avoids the coming of age cliches and the film boasts an excellent performance from kirsten dunst  if missteps hold the film back from achieving the full grandeur it aims for  there is no denying the way it conjures a magic realist american suburbia  rarely before brought so convincingly to life  a disarmingly wispy film given its subject matter  which is pretty much spelled out by its title  more than most recent movies about suburban adolescence  the virgin suicides catches both the triviality and the grandeur of youth  its prosaic details and its mythopoetic flights  this shimmery  darkly comic adaptation of jeffrey eugenides  novel marks the assured  often inspired feature film debut of writer director sofia coppola  coppola has created a detective story without a solution and a coming of ager without discernable characters  may haunt you for some time to come  the film slices through its dizzying succession of events with clean  swift efficiency  a weird and glorious tribute to ephemera of every possible sort  
55,quills,a literate  playfully provocative defense of free speech at its most abominable  philip kaufman and doug wright s movie impudently positions the marquis de sade as the twisted spokesman for the creative spirit  it pokes at sexual taboos   it s pretty subversive  considering   but sexuality and creativity are indelibly linked  and its true subject is expression  repression and catharsis  a gripping tale of eroticism and sexual fantasy that keeps grips with its taught atmosphere and passionate performances  more heavy handed than memorable  the material benefits from a top rank cast that fleshes out what could seem merely an exercise in philosophy  kaufman is one of the great  underappreciated maestros of the movies  and his work here is indeed masterly  a rare hollywood movie that is about the nature of eroticism without being afraid of its own power to arouse  it breathes  it twirls  it prances right up into your face  it swirls over the top sometimes  but there never is any doubt you re watching a movie about something  kaufman     finds a tone that remains more entertaining than depressing  more absorbing than alarming  geoffrey rush plays this rascal to the magnificent hilt  it argues its case fairly  acknowledging the implicit dangers in its position  and dramatizing the price that inevitably will be paid for its cherished goal of untrammeled personal expression  
56,keep_the_river_on_your_right,unfortunately bitten off more than it can chew  what s brilliant about the film is that it doesn t quite buy its hero s somewhat self serving account  meanders  dawdles  doubles back on itself but finally gets us somewhere fascinating and worthwhile  uses a single notorious incident to liven up an otherwise less than riveting story  
