,movie,review
15,girlfight,"  ""Boring, and I got tired of looking at Michelle Rodriguez""s pout.  ""Started off okay but then had a very stupid and unrealistic ending."
16,1104207-panic,"  ""It is one of a kind. The actors were believable, the theme was disturbing but interesting to watch.  ""An interesting premise that, unfortunately, became very predictable.  Sutherland and Macey are very good and Campbell plays a good neurotic."
17,widow_of_st_pierre,"  ""Boring but the scenery of Newfoundland is really great.  ""started becoming uninteresting very quickly...not my cup of tea..  ""A quiet film that stays intense to the very end -- not at all what I expected.  ""(***): [img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]\r\n\r\nAn interesting and well-acted film."
18,sexy_beast,"  ""Brilliant! Fantastic acting.  ""Feel the fear, Ben Kingsley is a master of his art.  ""Ben Kingsley is so good he carries the entire film."
19,aimee_and_jaguar," the best movie ever! recommended for lesbians!  ""Tear-jerking and really intriguing thanks to the fabulous performances and great cinematography.  ""absolutely in love with this movie. it takes a look at an untouched topic during that era and exposed a new outlook on love and war"
20,wattstax," ""The Staple Singers  ""The Soul Children  ""The Dramatics  ""Johnnie Taylor  ""Carla Thomas  ""Luther Ingram"
21,exorcist_the_version_youve_never_seen,"  ""Ok horror better, just as ok as the original.  ""It is the best version of this theological horror classic.  ""Just for that ""spiderwalk"" scene!"
22,emperors_new_groove," Pure good old fashioned fun.  ""Funniest Disney Movie Ever, With Beautiful Animation and Hilarious Moments  ""A childhood classic with fun characters and great animation"
23,meet_the_parents,  I still lose it. (3.5/5)
24,erin_brockovich,"  ""A solid performance by Julia Roberts and smart writting and direction makes of this a very enjoyable and memorable film.  ""The beautiful days of Julia. She""s gorgeous."
25,battle_royale,"  ""This movie is straight up gold.  ""Ultraviolent satire."
26,billy_elliot,"  ""seeing young jamie bell warms my heart <3  ""It played on too many stereotypes to be effective in my book.  ""Great characters development and super-b acting, an instant british classic"
27,state_and_main,"  ""The script is nothing special, but the cast is. They make the most of it.  ""the acting is horrible with great actors. I just don""t get it...  ""Sharp, original and loaded with symbolism that cinema-philes will have endless fun analyzing.  ""? ??? ?????????? ???????? ?????! ? 2000 ???? ????? ????? ""????? ?? ??????"" ?????? ??????? ???????. ???? ???????, ???? ???????? ?????? - ????? ??? ???????? ?????.  ????? ?????? ??????? ? ?????? ???????? ?????? ?? ?????? ???????, ?? ?? ????? ???? ??? ?????????? ?????? ????? ??? ????, ?????? ???????????? ??????????? ??????????. ???? ???????? ????? ??-?????? ???????? ????????, ?????? ????? ? ??????????? ????-???????? ????????. ?????? ??-?? ???? ?????? ??????? ???????? ???? ?????????? ???? ??????? ????? , ? ????? ?????????? ? ??? ?????? ? 46 ???."
28,nico_and_dani," I""d love to make it 4/5 but the acting is not too solid  ""-pighead-son of a bitch-queer-"
29,xmen,"  ""A great film that sets up the franchise for years to come, although some of the story elements can feel a bit dated.  """"Oh, that was pretty good..."" (Immediately stops thinking about this movie)  ""This is the one that started it all and it""s a classic! People take it for granted now., but it was so inventive. This is how you do a thoughtful, intriguing comic book movie."
30,nurse_betty,"  ""Way too dark to be much of a comedy.  ""On Blobbo""s list of top 10 for year.  ""It""s good movie to watch  ""This comedy has a few violent scenes."
31,thirteen_days,"  ""An entertaining, quality film"
32,chunhyangdyun_2000,"  ""not my cup of tea story was interesting but the sing song narrative-lame  ""This bland story isn""t helped by its grating soundtrack/narration.  ""Le plus grand corÃ©en  ""My first Korean movie... it was one of the films in Arts Fest."
33,shadow_of_the_vampire," interesting Fiction This Drama is a great movie  ""Not exactly my taste but surprisingly well acted given the material."
34,chuck_and_buck,"  ""More of a drama than anything else. I found Chuck too sad to be funny.  ""A strange and often uncomfortable movie about sexuality and friendship.  ""Odd, entertaining and memorable."
35,original_kings_of_comedy,"  ""Insulting.......and funny as hell.  ""funny stuff gr8 laugh fest"
36,merci_pour_le_chocolat,"  ""The kiss of the spider woman."
37,ghost_dog_the_way_of_the_samurai,"  ""This is my #1 favorite movie!  An utter display of brilliant cinematography & much perfect excitement!  ""Has a good energy, attitude and pace about it--like most Jarmusch films--but somehow just falls flat.  ""It""s not often a film speaks to your soul. The spoken word mixed with difficult situations was beautiful."
38,love_and_basketball,"  ""Excellent all around  ""Nostalgic, dramatic, great soundtrack."
39,beau_travail," Beau Travail is a quiet, meditative film about the pitfalls of resentment (and homophobia caused by suppressed same-sex attraction? Like the source material, it is undeniably homoerotic).  ""A dreamy evocation of history and culture, a poem of the body. More than most filmmakers working today, Denis exalts the form.  ""1001 movies to see before you die.  But, I don""t think so.  It was good to learn about the French Legionares, but this got old despite the visuals.  RUS  ""Overrated? Hard to follow at times. Not particularity well acted or edited. Overindulgent.\nCe film n""est pas du bon travail."
40,1097991-george_washington,"  ""It speaks in a quiet voice volumes of ourselves and the world that we live in.  ""Poetic and passionate."
41,wonder_boys,"  ""A clever script combined with fine performances make Wonder Boys a enjoyable dark comedy.  ""Another Dark Comedy that forgot the comedy part..."
42,house_of_mirth,"  ""***Due to the recent RT changes that have basically ruined my past reviews, I am mostly only giving a rating rather than a full review.***  ""the adaptation of edith wharton""s novel was really good. the screenplay was nice, it was well-casted and gillian anderson was really great in this film. cinematography was good too, same with the production design, editing and scoring of this film. its kinda tragic but it""s really worth watching."
43,gladiator," Funny, original, & romantic!!!!!!!!!!!!! Long, yet sweet.  ""Perfect film in its genre.   ""the best movie i have ever seen"
44,lakeboat,"  ""A must for anyone who ever went to sea.  ""awesome film, flippen funny, really awkward! i loved it!"
45,requiem_for_a_dream,"  ""This illustrates the devastating nature & consequences of addiction...  ""The best drama ever!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ""Perfect atmosphere crafting that matches the story and its ending perfectly. Good portion of this acomplishment belongs to the delicious sondtrack."
46,shanghai_noon,"  ""Who doesn""t like this? Its very funny.  ""Liked this is as a kid"
47,fantasia_2000,"  ""Funnier & shorter than the longest animated Disney classic!!!!!!!!!!!!!!!!!!!  ""I like it i do its just it isn""t like the 40s one"
48,pollock,"  ""The performances are strong enough that even those with no interest in Pollock himself will be engaged.  ""what a good movie. never dont drink something like that  ""After the movie hits the 90 minute mark, it starts to lose the charm that it built up in the beginning.  ""A perfect film that loves paint as much as it""s subject.  ""What makes this movie is the performance by Sam Harris."
49,o_brother_where_art_thou,"  ""Very inspiring, culturally eloquent, and does not stop to amaze spectator from start to the last sequence.  ""Great soundtrack on an enjoyable adventure"
50,the_vertical_ray_of_the_sun,"  ""feels like another (less colorful and more contemplative) version of mui du du xanh.  ""With theme of my beautiful hometown Hanoi, every single frame should be a painting! This film is a masterpiece!  ""If you have a taste for foriegn movies and understand that other countries do not make movies like holiwood, I think you will like this. It is like a aisan poem or vignette."
51,space_cowboys,"  ""The greatest segment is where the retired soldiers are saving a satellite!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ""Enjoyable film sprinkled with humor  ""A dumb plot with an unpleasant mix of tones."
52,tao_of_steve,"  ""Enjoyable romance flick.  ""Loved how he found a justification for studying philosophy  ""An enjoyable indie rom-com"
53,1100998-contender," Way too much talking. Too long and boring....  ""A great political thriller with fantastic performances and an interesting story.  ""Been waiting for ages for a blu-ray or digital of this... still waiting :""("
54,virgin_suicides,"  ""too slow and strange for me,but I could see how people like it  ""Really good and nervewrecking"
55,quills,"  ""This was really good. I liked it a lot  ""A waste of film. Miss it.  ""It""s a sensual and disturbing affair with a cast that will blow your socks off."
56,keep_the_river_on_your_right," Long winded, repetitive, and rarely insightful.  ""Aimless and pointless."
57,finding_forrester," predictable but entertaining enough.  ""Even though it gets a little precious at times, overall I really liked it."
58,rugrats_in_paris," The best sequel ever!!!!!!!!!!!!!!!!!!  ""This movie is worth to see. Better then the original movie.  ""Giving Chuck a new mommy and a sister makes this even better."
59,tigerland,"  ""Really good watch.  Do it!  ""very good little movie i can watch it all the time!"
60,remember_the_titans,"  ""one the best movie ever   ""Excellent Entertainment!  ""Your review will help others decide whether to watch."
61,unbreakable,"  ""Criminally underrated.  ""A great first film in the very intriguing trilogy."
62,code_unknown," Kind of indirect and episodic with many characters crossing paths in varying ways.  ""Hauntingly, exquisitely cryptic jigsaw of our interconnected lives and our uncertainty about each other.  ""I remember it quite fondly.."
63,1097859-sunshine,"  ""Not bad but a bit too long (3 hours).  ""not an up movie but Fiennes is great as always  ""Really long without being consistently engaging  ""well crafted & lensed period pic about a Hungarian family"
64,my_dog_skip," Frankie Muniz. Ugh! So nauseating!  ""This is a great family movie.  ""I loved this movie when I was younger, and I still do  ""Filled with cliche after cliche to the point were its over the top annoying."
65,the_big_kahuna,"  ""Well acted. Great script. Spacey is superb.  ""Love this movie! I actually watch this movie very often while gaming!  ""Upsetting genius at work"
66,frequency,"  ""Dennis Quaid is a pedophile and a terrible Actor so no thanks  ""Nice movie frequency best.  ""wonderful wonderful script!"
67,american_psycho,"  ""Let""s see Paul Allen""s movie  ""The uniqueness of Patrick Bateman makes this a must watch."
68,charlies_angels,"  ""pure rubbish do not lose the time you would spend watching this dross  ""Of all the Charlie""s Angels films, this was the best in my opinion.  ""An All Out Fun, Beautiful And Awesome Action Movie!  ""It""s sense of humor is  both welcome and its undoing, as it gets to be a bit much.  ""Entertaining, but a bit too giggly for my taste."
69,dancer_in_the_dark,"  ""Kind of a masterpiece. No punches held. Bjork is amazing. Tearjerker.  ""Depressing and not at all interesting besides the acting which is strong.  ""A Arte da dor. Tocante e perturbador.  ""Pain is bottomless and life is profound.\n"
70,keeping_the_faith,"  ""a smart, funny romcom  ""The best romance movie ever made!"
71,gangster-no-1,"  ""not overly impressed  ""Great tone throughout and great cast.  ""Malcolm McDowell, Malcolm ""facking"" McDowell"
72,shadow_magic," I thought it was boring and dull!  """"Brilliant! A cinematic masterpiece that was interesting and enthralling!"""
73,1098038-shaft,"  ""Excellent show. All good actors and lovely red blood and guts !!!🤕  ""Jackson was great but he needed a better story and more to do than he was given."
74,u571,"  ""Not my cup of tea but it is exciting and intense. A great cast also help.  ""Das Boot remains the definitive U-boat film, but the story here was interesting and kept me interested throughout. Not bad, but not great.  ""Okay Plot, Kinda cheesy underwater explosions, pretty good film  ""It""s tense, it""s well made, it has great action sequences and solid performances, but it just doesn""t grab. No idea why..."
75,grateful_dawg,"  ""Incredible music - I wish there were more songs and less talking.  ""this one is kinda pieced-together, but it""s a nice nostalgic ride.  ""Jerry and David having fun together."
76,timecode,"  ""As an experience and an experiment, it must be seen. The story may lack, but that""s hardly the point.  ""Schizophrenic, lazy and very irritating.  Incoherent four-split screen novelty fails to hold attention for even a few minutes.  What a waste of a talented cast.  ""Irresistable. The cast is icing on the cake in this tidy execution of a unique premise by ringmaster cum video voyeur Figgis  ""It""s a unique experience. don""t miss watching it. After 10 years of search, I got a copy and FINALLY watched!  ""I want to like this film and I watch it every few years, but it really isn""t as good as it could""ve been had there been a script."
77,about_adam,"  ""Adam""s a manwhore. The end.  ""(***): [img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]"
78,1095081-boiler_room,"  ""Rented this from my library years ago.  Ben Affleck""s monologue is peak cinema.  ""A very entertaining film that is worth a little more attention. The first half is the better half and it is nothing really new but it is a very enjoyable movie."
79,small_time_crooks,"  ""Another slow moving unfunny mess from Allen.  ""extremely funny and whlesome  ""Nice lil"" Quirky Mystery from Woody."
80,1097046-dinosaur,"  """"Dinosaur"" is ambitious film, but is way too boring to be worth your time.  ""I don""t know what to say, guess im just too tired  ""Easily the worst disney movie. I can""t stand it."
81,yards," Bine jucat, nu prea atent construit  ""The only boring thing in this movie is the expression of Mark Wahlberg, that is absent for the total lasting of the movie. Apart from this, I enjoyed the view.  ""Fairly good, wonderful cast, although with quite a corny story."
82,bring_it_on,"  ""I""m a sucker for a teen movie with class consciousness.  ""Best movie I have ever seen tbh"
83,anywhere_but_here," A movie that is engaging and realistic. Hard to watch without shedding a tear.  ""The story is good enough but it is the chemistry between the actors that makes it work.  ""Always  been one of my favorites!"
84,1098149-patriot," Good despite its flaws.  ""Wow. Just wow. I cant belive I waited 21 years to watch this masterpiece.  ""Great Post Modern Revenge Flick"
85,chocolat,"  ""As sweet as the chocolates in display (probably).  ""Creditworthy in every way. I can""t think of one good thing to say about it."
86,1099492-saving_grace," It was too dark and depressing for my taste. It""s tone was confused.  ""One of the best of British comedies. Very funny.  ""Relaxing. Little bit silly"
87,princess_and_the_warrior,"  ""This is one of the most well crafted films I""ve ever seen.  ""I like this movie a lot.  ""I wish I had made this movie"
88,return_to_me, Sharing a Heart and Sharing a Love
89,wonderland_2000," Michael Winterbottom""s slice-of-life drama is well-acted but rambling and ineffective.  ""London has never been more beautiful and yet rugged on films."
90,claim,"  ""This one is long, slow, & boring. Not much more to say about the Claim.  ""I saw it but do not recall it well.  ""Sencilla y emotiva. De lo mejor de Winterbottom. Muy bonito scire de Nyman.  ""Clearly influenced by ""McCabe and Mrs. Miller"
91,the-tigger-movie," Basically tigger having an existential crisis.\n6.75/10  ""Es entretenida y bonita e interesante  ""A relaxing short movie for young children!"
92,pitch_black,"  ""A lot better than the end of the franchise films in my opinion  ""I LOVE THIS MOVIE,\nVIN is so great  in this.\nGreat story\nSuper creepy aliens.\nWorth a far greater rating!"
93,mission_impossible_2," beautifully shot, good acting but not great and the plot is not very good. it is kinda irrelevant.  ""Never go full Woo, man!  ""The movie contained too many stunts, making it seem like a Stunt Orientated movie."
94,kikujiro,"  ""The soundtrack was even better than the movie itself.  ""Sweet and amusing. Takeshi Kitano has many talents.  ""Really quirky and funny."
95,1097245-hamlet," In the long history of Hamlet on film, this might be the worst.  ""Hated every minute of it."
96,alice_et_martin,"  ""Saw it. Loved it. Love French film!  ""no me gusto el final....  ""Great story, go for Techine, he is great!"
97,1103231-gift,"  ""Predictable from the opening scene this unpleasant thriller fails to build any suspense.  ""Wonderful movie directed by Sam Raimi. Great performance by Cate Blanchett.  ""It was worth watching, I think the ending needed to be a bit longer. Good acting."
98,dr_t_and_the_women,"  ""Richard Gere is wonderful, the film is not.  ""I don""t know what I just watched. It left me disturbed. I have no other words.  ""Worst movie of all time!"
99,1097259-road_trip," A funny teen satire!  ""Tom Green does his best to ruin this movie but it lives on regardless "
100,monsters_inc,"  ""Best movie in my opinion  ""One of my all-time favorites."
101,crouching_tiger_hidden_dragon,"  ""A good dosis of action, a good dosis of fantasy, a good dosis of culture, a very good dosis of movie.  ""Beautiful movie in every way.  ""I really like this film. Very beautiful!  ""Silly movie about people flying around on strings."
102,time-out-l-emploi-du-temps,"  ""More than the plot, this movie works because it succeeds in creating an atmosphere of constantly being an outsider, left out from the rest of the normal world.  ""The synopsis sounds very interesting. The movie...not exactly.\nBunch of creepy people everywhere."
103,the_lord_of_the_rings_the_fellowship_of_the_ring,"  ""The best of the trilogy!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1  ""The beginning of the most epic trilogy of all time.  ""There is no better movie than this.  ""Sitting through the stupidity of many scenes just makes the good scenes more rewarding"
104,dish,"  ""Great movie. I highly recommend it.  ""one of the really good Aussie movies"
105,with_a_friend_like_harry,"  ""A senseless French suspense thriller.  ""Great peace of french cinema !  ""Good movie!! Great performance by Sergi Lopez."
106,werckmeister_harmonies," Definitely more art house than horror.   ""Depth: 2/2\nImportance: 2/2\nRelevance: 2/2\nArtistry: 2/2\nImagination: 2/2\n\nTotal: 10/10  ""A masterpiece in filmmaking"
107,ghost_world,"  ""For the girls that grew up feeling like outsiders or freaks, this one hits home. Themes of growing up and the pains that come with maturing are big in this film.  ""Teen angst familiar even to old blob. Plus, young Birch have same face as young girl-blob on whom Blobbo had crush in High School.  Make Blobbo sentimental..(Blobbo sigh.)  ""At times a bit too cruel, but really funny and sometimes downright heartfelt. It also has some great performances."
108,in_the_bedroom,"  ""The fantastic performances make it a must watch.  ""It was too slow, too long and too uneventful for my taste but the characters were powerfully pictured and the ending was worth enduring  the slow pace.  ""Excellent plot and writing"
109,im_going_home,"  ""Heart-wrenchingly slow... I did not find it enjoyable to watch.  ""Nothing to say about it, really. It""s Oliveira.  ""Pretentious twaddle. Piccoli great.  ""J"" ai manquÃ© le bateau sur celui-ci."
110,spy_kids," Extremely good kids movie with good action and humor. 8/10  ""I think the writers were on acid."
111,amores_perros,"  ""Say what you will about the futility of revenge and ""violence begets violence  ""This is a really good movie.  The stories are very interesting but I wish the title didn""t apply so much to all of the characters.  ""The essence of many and diverse mexican families are through all the film, one of the best Alejandro Gonzalez Iñarritu works among many."
112,the-endurance," Amazing story!  Rent it.  ""remarkable documentary  ""one of the best documentaries i""ve seen in a while"
113,y_tu_mama_tambien," I really liked this one!  They show everything!!!  I wish she was my mother!  I wish my mother wanted me....  ""Peak mexican film, will never be topped"
114,lagaan_once_upon_a_time_in_india,"  ""Best sport drama film ever made in bollywood.  ""best movie of indian cinema"
